LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2025082320	914.107951682411
Oahu	2025082322	784.907828888253
Oahu	2025092300	601.1885408878
Oahu	2025092302	560.11705051746
Oahu	2025092304	636.142683018706
Oahu	2025092306	858.082113690063
Oahu	2025092308	976.999228661818
Oahu	2025092310	1028.37384544751
Oahu	2025092312	1052.29682729491
Oahu	2025092314	1053.58096128902
Oahu	2025092316	1030.56800634844
Oahu	2025092318	1075.07724586055
Oahu	2025092320	951.69102614776
Oahu	2025092322	741.895079438773
Oahu	2025102300	596.062187634786
Oahu	2025102302	552.837082116788
Oahu	2025102304	611.168226979088
Oahu	2025102306	829.518155072907
Oahu	2025102308	941.13505962409
Oahu	2025102310	994.946494695607
Oahu	2025102312	1015.31033699532
Oahu	2025102314	1010.38621880087
Oahu	2025102316	990.831193308485
Oahu	2025102318	1043.28777074319
Oahu	2025102320	924.633616889706
Oahu	2025102322	737.820262091451
Oahu	2025112300	554.68737553333
Oahu	2025112302	511.533055371505
Oahu	2025112304	532.999038626658
Oahu	2025112306	621.097369734102
Oahu	2025112308	784.705655543159
Oahu	2025112310	859.699932445138
Oahu	2025112312	853.127694179243
Oahu	2025112314	840.660646465858
Oahu	2025112316	872.793865640653
Oahu	2025112318	977.100315334365
Oahu	2025112320	869.265027409338
Oahu	2025112322	699.79229518264
Oahu	2025122300	559.490165035329
Oahu	2025122302	502.857745294226
Oahu	2025122304	564.323317567178
Oahu	2025122306	763.189128951732
Oahu	2025122308	891.893754252681
Oahu	2025122310	950.578825895845
Oahu	2025122312	951.630423515012
Oahu	2025122314	943.410065177669
Oahu	2025122316	924.937000334297
Oahu	2025122318	992.024361639998
Oahu	2025122320	899.022154358008
Oahu	2025122322	742.592750277076
Oahu	2030012300	608.605083421754
Oahu	2030012302	579.780671268808
Oahu	2030012304	626.91908716581
Oahu	2030012306	789.414668197508
Oahu	2030012308	831.647826567928
Oahu	2030012310	854.088094324093
Oahu	2030012312	860.188356592307
Oahu	2030012314	855.223622838363
Oahu	2030012316	850.773866174992
Oahu	2030012318	910.040234328288
Oahu	2030012320	835.925924201107
Oahu	2030012322	703.027220958217
Oahu	2030022300	631.778165995538
Oahu	2030022302	590.977675502916
Oahu	2030022304	600.260117412734
Oahu	2030022306	674.995019259158
Oahu	2030022308	793.620153255005
Oahu	2030022310	842.620384605284
Oahu	2030022312	844.488727937173
Oahu	2030022314	841.696085348353
Oahu	2030022316	850.859695690088
Oahu	2030022318	884.860111149864
Oahu	2030022320	834.308420649251
Oahu	2030022322	740.084376021807
Oahu	2030032300	629.526894080572
Oahu	2030032302	591.76992625235
Oahu	2030032304	599.33585845135
Oahu	2030032306	652.792414639159
Oahu	2030032308	760.517603173332
Oahu	2030032310	794.095519822885
Oahu	2030032312	798.86216066781
Oahu	2030032314	796.498625358921
Oahu	2030032316	805.629233647668
Oahu	2030032318	836.500296927949
Oahu	2030032320	811.729495915883
Oahu	2030032322	711.59663316399
Oahu	2030042300	614.65251822786
Oahu	2030042302	585.68288092355
Oahu	2030042304	624.872476334023
Oahu	2030042306	774.883610405178
Oahu	2030042308	856.524201913117
Oahu	2030042310	895.172466945283
Oahu	2030042312	908.680179026172
Oahu	2030042314	911.525689372647
Oahu	2030042316	904.071980272024
Oahu	2030042318	904.870879786712
Oahu	2030042320	867.747640026053
Oahu	2030042322	724.635627442253
Oahu	2030052300	656.311303871439
Oahu	2030052302	625.526070106254
Oahu	2030052304	671.423342860317
Oahu	2030052306	819.434085092086
Oahu	2030052308	902.712005561002
Oahu	2030052310	936.243622627058
Oahu	2030052312	942.984342319183
Oahu	2030052314	935.306187021807
Oahu	2030052316	905.748919755695
Oahu	2030052318	889.2768254647
Oahu	2030052320	859.640417744293
