load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand
Oahu,2025-04-23-10:00,1239.97,0,978.364,126.138,0,135.465
Oahu,2025-04-23-12:00,1318.03,0,999.052,34.4013,121.32,163.259
Oahu,2025-04-23-14:00,1255.03,0,1003.41,0,0,251.619
Oahu,2025-04-23-16:00,1055.74,0,991.994,0,162.949,-99.1994
Oahu,2025-04-23-18:00,893.896,0,993.218,0,0,-99.3218
Oahu,2025-04-23-20:00,842.726,0,936.363,0,0,-93.6363
Oahu,2025-04-23-22:00,645.465,0,717.183,0,0,-71.7183
Oahu,2025-05-23-00:00,649.431,0,612.543,98.142,0,-61.2543
Oahu,2025-05-23-02:00,599.669,0,565.395,54.3344,0,-20.0605
Oahu,2025-05-23-04:00,618.772,0,635.688,0,0,-16.9153
Oahu,2025-05-23-06:00,776.132,0,862.369,0,0,-86.2369
Oahu,2025-05-23-08:00,1230.59,0,989.911,0,0,240.683
Oahu,2025-05-23-10:00,1227.62,0,1041.27,0,0,186.354
Oahu,2025-05-23-12:00,1308.32,0,1051.59,126.138,231.987,-101.394
Oahu,2025-05-23-14:00,1159.15,0,1039.83,0,0,119.318
Oahu,2025-05-23-16:00,999.434,0,994.562,0,0,4.87197
Oahu,2025-05-23-18:00,872.401,0,969.335,0,0,-96.9335
Oahu,2025-05-23-20:00,831.552,0,923.946,0,0,-92.3946
Oahu,2025-05-23-22:00,736.622,0,760.378,0,52.2819,-76.0378
Oahu,2025-06-23-00:00,535.3,0,594.778,0,0,-59.4778
Oahu,2025-06-23-02:00,492.512,0,547.235,0,0,-54.7235
Oahu,2025-06-23-04:00,613.228,0,609.692,44.6541,19.8509,-60.9692
Oahu,2025-06-23-06:00,735.382,0,817.092,0,0,-81.7092
Oahu,2025-06-23-08:00,1142.31,0,955.806,59.9078,0,126.598
Oahu,2025-06-23-10:00,1243.61,0,1026.93,31.9388,264.418,-79.6723
Oahu,2025-06-23-12:00,1352.53,0,1046.88,65.5649,0,240.093
Oahu,2025-06-23-14:00,1304.92,0,1048.67,64.203,0,192.051
Oahu,2025-06-23-16:00,1142.18,0,1024.35,65.0633,0,52.7708
Oahu,2025-06-23-18:00,896.134,0,995.705,0,0,-99.5705
Oahu,2025-06-23-20:00,881.756,0,979.729,0,0,-97.9729
Oahu,2025-06-23-22:00,696.753,0,774.17,0,0,-77.417
Oahu,2025-07-23-00:00,743.953,0,647.022,0,0,96.9309
Oahu,2025-07-23-02:00,692.579,0,594.293,0,157.716,-59.4293
Oahu,2025-07-23-04:00,627.945,0,649.065,0,43.7868,-64.9065
Oahu,2025-07-23-06:00,778.312,0,851.783,0,11.707,-85.1783
Oahu,2025-07-23-08:00,1026.78,0,981.185,43.5211,0,2.07791
Oahu,2025-07-23-10:00,1300.55,0,1053.48,62.4486,0,184.626
Oahu,2025-07-23-12:00,1309.32,0,1068.15,62.4486,0,178.721
Oahu,2025-07-23-14:00,1219.36,0,1062.76,57.0419,0,99.5529
Oahu,2025-07-23-16:00,1108.29,0,1048.92,61.2175,71.059,-72.9053
Oahu,2025-07-23-18:00,915.727,0,1017.47,0,0,-101.747
Oahu,2025-07-23-20:00,886.834,0,985.371,0,0,-98.5371
Oahu,2025-07-23-22:00,712.842,0,792.046,0,0,-79.2046
Oahu,2025-08-23-00:00,575.222,0,639.136,0,0,-63.9136
Oahu,2025-08-23-02:00,518.784,0,576.426,0,0,-57.6426
Oahu,2025-08-23-04:00,531.041,0,590.046,0,0,-59.0046
Oahu,2025-08-23-06:00,632.98,0,703.311,0,0,-70.3311
Oahu,2025-08-23-08:00,1135.76,0,893.673,65.3162,0,176.768
Oahu,2025-08-23-10:00,1032.45,0,964.775,71.2565,0,-3.58586
Oahu,2025-08-23-12:00,1269.83,0,970.285,67.0323,0,232.51
Oahu,2025-08-23-14:00,1280.51,0,964.906,22.4628,284.268,8.87629
Oahu,2025-08-23-16:00,1118.21,0,957.121,60.61,0,100.475
Oahu,2025-08-23-18:00,848.25,0,942.5,0,0,-94.25
Oahu,2025-08-23-20:00,822.697,0,914.108,0,0,-91.4108
Oahu,2025-08-23-22:00,706.417,0,784.908,0,0,-78.4908
Oahu,2025-09-23-00:00,541.07,0,601.189,0,0,-60.1189
Oahu,2025-09-23-02:00,563.865,0,560.117,59.7593,0,-56.0117
Oahu,2025-09-23-04:00,645.303,0,636.143,72.7749,0,-63.6143
Oahu,2025-09-23-06:00,772.274,0,858.082,0,0,-85.8082
Oahu,2025-09-23-08:00,1171.94,0,976.999,53.7213,0,141.223
Oahu,2025-09-23-10:00,1204.25,0,1028.37,62.4486,216.268,-102.837
Oahu,2025-09-23-12:00,1346,0,1052.3,62.438,0,231.269
Oahu,2025-09-23-14:00,1263.18,0,1053.58,108.07,0,101.527
Oahu,2025-09-23-16:00,1269.81,0,1030.57,0,68.0007,171.237
Oahu,2025-09-23-18:00,967.57,0,1075.08,0,0,-107.508
Oahu,2025-09-23-20:00,856.522,0,951.691,0,0,-95.1691
Oahu,2025-09-23-22:00,667.706,0,741.895,0,0,-74.1895
Oahu,2025-10-23-00:00,632.85,0,596.062,96.3944,0,-59.6062
Oahu,2025-10-23-02:00,514.228,0,552.837,16.675,0,-55.2837
Oahu,2025-10-23-04:00,550.051,0,611.168,0,0,-61.1168
Oahu,2025-10-23-06:00,746.566,0,829.518,0,0,-82.9518
Oahu,2025-10-23-08:00,1173.84,0,941.135,33.0788,284.268,-84.6463
Oahu,2025-10-23-10:00,1330.18,0,994.946,59.7918,0,275.442
Oahu,2025-10-23-12:00,1319.74,0,1015.31,39.83,0,264.599
Oahu,2025-10-23-14:00,1274.06,0,1010.39,90.4486,0,173.221
Oahu,2025-10-23-16:00,955.277,0,990.831,63.5285,0,-99.0831
Oahu,2025-10-23-18:00,938.959,0,1043.29,0,0,-104.329
Oahu,2025-10-23-20:00,832.17,0,924.634,0,0,-92.4634
Oahu,2025-10-23-22:00,669.722,0,737.82,5.68342,0,-73.782
Oahu,2025-11-23-00:00,499.219,0,554.687,0,0,-55.4687
Oahu,2025-11-23-02:00,488.415,0,511.533,0,28.0348,-51.1533
Oahu,2025-11-23-04:00,492.501,0,532.999,12.8015,0,-53.2999
Oahu,2025-11-23-06:00,558.988,0,621.097,0,0,-62.1097
Oahu,2025-11-23-08:00,935.534,0,784.706,45.9027,0,104.926
Oahu,2025-11-23-10:00,1137.87,0,859.7,65.9486,256.234,-44.0118
Oahu,2025-11-23-12:00,1183.26,0,853.128,90.4486,0,239.68
Oahu,2025-11-23-14:00,1121.12,0,840.661,65.9486,0,214.513
Oahu,2025-11-23-16:00,852.763,0,872.794,18.4292,0,-38.4604
Oahu,2025-11-23-18:00,879.39,0,977.1,0,0,-97.71
Oahu,2025-11-23-20:00,782.339,0,869.265,0,0,-86.9265
Oahu,2025-11-23-22:00,689.729,0,699.792,59.9159,0,-69.9792
Oahu,2025-12-23-00:00,709.545,0,559.49,37.8539,0,112.201
Oahu,2025-12-23-02:00,590.832,0,502.858,0,0,87.9741
Oahu,2025-12-23-04:00,560.914,0,564.323,0,0,-3.40959
Oahu,2025-12-23-06:00,686.87,0,763.189,0,0,-76.3189
Oahu,2025-12-23-08:00,802.704,0,891.894,0,0,-89.1894
Oahu,2025-12-23-10:00,1034.59,0,950.579,77.4486,0,6.56295
Oahu,2025-12-23-12:00,1186.63,0,951.63,77.4486,209.013,-51.4634
Oahu,2025-12-23-14:00,1308.31,0,943.41,77.4486,0,287.448
Oahu,2025-12-23-16:00,968.36,0,924.937,53.8649,0,-10.4415
Oahu,2025-12-23-18:00,892.822,0,992.024,0,0,-99.2024
Oahu,2025-12-23-20:00,809.12,0,899.022,0,0,-89.9022
Oahu,2025-12-23-22:00,743.589,0,742.593,0,75.2552,-74.2593
Oahu,2030-01-23-00:00,547.745,0,608.605,0,0,-60.8605
Oahu,2030-01-23-02:00,588.712,0,579.781,0,0,8.93135
Oahu,2030-01-23-04:00,564.227,0,626.919,0,0,-62.6919
Oahu,2030-01-23-06:00,710.473,0,789.415,0,0,-78.9415
Oahu,2030-01-23-08:00,951.605,0,831.648,70.5314,132.591,-83.1648
Oahu,2030-01-23-10:00,1209.69,0,854.088,6.22777,0,349.369
Oahu,2030-01-23-12:00,1183.63,0,860.188,15.2627,281.575,26.6088
Oahu,2030-01-23-14:00,1107.18,0,855.224,21.2278,0,230.726
Oahu,2030-01-23-16:00,985.782,0,850.774,126.138,93.9473,-85.0774
Oahu,2030-01-23-18:00,819.036,0,910.04,0,0,-91.004
Oahu,2030-01-23-20:00,752.333,0,835.926,0,0,-83.5926
Oahu,2030-01-23-22:00,632.724,0,703.027,0,0,-70.3027
Oahu,2030-02-23-00:00,606.362,0,631.778,5.18826,0,-30.604
Oahu,2030-02-23-02:00,648.802,0,590.978,116.922,0,-59.0978
Oahu,2030-02-23-04:00,540.234,0,600.26,0,0,-60.026
Oahu,2030-02-23-06:00,607.496,0,674.995,0,0,-67.4995
Oahu,2030-02-23-08:00,925.765,0,793.62,5.18826,0,126.956
Oahu,2030-02-23-10:00,1095.76,0,842.62,0,170.034,83.1085
Oahu,2030-02-23-12:00,1224.26,0,844.489,126.138,338.079,-84.4489
Oahu,2030-02-23-14:00,1154.03,0,841.696,115.772,0,196.562
Oahu,2030-02-23-16:00,991.834,0,850.86,0,0,140.974
Oahu,2030-02-23-18:00,796.374,0,884.86,0,0,-88.486
Oahu,2030-02-23-20:00,750.878,0,834.308,0,0,-83.4308
Oahu,2030-02-23-22:00,666.076,0,740.084,0,0,-74.0084
Oahu,2030-03-23-00:00,573.127,0,629.527,6.55263,0,-62.9527
Oahu,2030-03-23-02:00,564.395,0,591.77,31.8021,0,-59.177
Oahu,2030-03-23-04:00,539.402,0,599.336,0,0,-59.9336
Oahu,2030-03-23-06:00,587.513,0,652.792,0,0,-65.2792
Oahu,2030-03-23-08:00,931.684,0,760.518,128.261,118.958,-76.0518
Oahu,2030-03-23-10:00,1320.62,0,794.096,0,0,526.525
Oahu,2030-03-23-12:00,1091.29,0,798.862,124.248,248.067,-79.8862
Oahu,2030-03-23-14:00,1136.08,0,796.499,5.18826,141.088,193.301
Oahu,2030-03-23-16:00,771.735,0,805.629,46.6683,0,-80.5629
Oahu,2030-03-23-18:00,752.85,0,836.5,0,0,-83.65
Oahu,2030-03-23-20:00,730.557,0,811.729,0,0,-81.1729
Oahu,2030-03-23-22:00,640.437,0,711.597,0,0,-71.1597
Oahu,2030-04-23-00:00,553.187,0,614.653,0,0,-61.4653
Oahu,2030-04-23-02:00,527.115,0,585.683,0,0,-58.5683
Oahu,2030-04-23-04:00,562.385,0,624.872,0,0,-62.4872
Oahu,2030-04-23-06:00,697.395,0,774.884,0,0,-77.4884
Oahu,2030-04-23-08:00,1027.08,0,856.524,128.261,0,42.2938
Oahu,2030-04-23-10:00,1205.22,0,895.172,5.18826,394.377,-89.5172
Oahu,2030-04-23-12:00,1283.85,0,908.68,5.18826,113.735,256.243
