ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
Oahu,2030112316,-13.8682105479
Oahu,2030112318,-89.4347214143
Oahu,2030112320,-82.3936628922
Oahu,2030112322,-71.3280140822
Oahu,2030122300,1.82156432141
Oahu,2030122302,6.1392917517
Oahu,2030122304,-25.652530495
Oahu,2030122306,-62.8138255917
Oahu,2030122308,-83.871195832
Oahu,2030122310,-87.7030122231
Oahu,2030122312,286.433658745
Oahu,2030122314,111.505635277
Oahu,2030122316,103.008887552
Oahu,2030122318,-90.4091805681
Oahu,2030122320,-84.3366416362
Oahu,2030122322,-74.1226513006
Oahu,2035012300,-61.8937762477
Oahu,2035012302,-27.3192894645
Oahu,2035012304,-63.786485417
Oahu,2035012306,-80.5800211443
Oahu,2035012308,86.4635831529
Oahu,2035012310,-87.2638674702
Oahu,2035012312,23.2458778645
Oahu,2035012314,327.66941701
Oahu,2035012316,133.549882932
Oahu,2035012318,-93.0463894085
Oahu,2035012320,-85.3868499482
Oahu,2035012322,-71.6520818588
Oahu,2035022300,-64.288659774
Oahu,2035022302,-60.0720251405
Oahu,2035022304,-61.0313436577
Oahu,2035022306,-68.755019811
Oahu,2035022308,-81.0146481238
Oahu,2035022310,-86.0787066699
Oahu,2035022312,397.901709916
Oahu,2035022314,321.728062747
Oahu,2035022316,-47.2437501716
Oahu,2035022318,-90.4440829609
Oahu,2035022320,-85.2196847643
Oahu,2035022322,-75.481851589
Oahu,2035032300,-64.0559961219
Oahu,2035032302,-60.1539023902
Oahu,2035032304,-60.9358236701
Oahu,2035032306,-66.4604328964
Oahu,2035032308,228.440904583
Oahu,2035032310,-81.0637761394
Oahu,2035032312,239.314216853
Oahu,2035032314,-81.3121314388
Oahu,2035032316,187.097067725
Oahu,2035032318,-85.4462100173
Oahu,2035032320,-82.8862060519
Oahu,2035032322,-72.5377104349
Oahu,2035042300,-62.5187643971
Oahu,2035042302,-59.5248205865
Oahu,2035042304,-63.574973006
