load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2025-01-23-18:00	901.021	0	0	1001.13	0	0	-100.113
Oahu	2025-01-23-20:00	798.864	0	0	887.627	0	0	-88.7627
Oahu	2025-01-23-22:00	615.681	0	0	684.09	0	0	-68.409
Oahu	2025-02-23-00:00	595.333	0	0	574.97	77.86	0	-57.497
Oahu	2025-02-23-02:00	637.625	0	0	512.484	64.0482	14.2998	46.7935
Oahu	2025-02-23-04:00	502.503	0	0	526.7	0	0	-24.1968
Oahu	2025-02-23-06:00	577.042	0	0	641.158	0	0	-64.1158
Oahu	2025-02-23-08:00	913.477	0	0	822.835	128.639	0	-37.9972
Oahu	2025-02-23-10:00	1078.06	0	0	897.88	0	269.969	-89.788
Oahu	2025-02-23-12:00	1203.37	0	0	900.741	0	0	302.626
Oahu	2025-02-23-14:00	1134.77	0	0	896.464	0	0	238.308
Oahu	2025-02-23-16:00	976.317	0	0	910.498	123.433	0	-57.6152
Oahu	2025-02-23-18:00	866.314	0	0	962.571	0	0	-96.2571
Oahu	2025-02-23-20:00	796.635	0	0	885.15	0	0	-88.515
Oahu	2025-02-23-22:00	669.098	0	0	740.844	0	0	-71.7458
Oahu	2025-03-23-00:00	548.366	0	0	571.522	0	0	-23.1564
Oahu	2025-03-23-02:00	544.219	0	0	513.697	81.8923	0	-51.3697
Oahu	2025-03-23-04:00	517.486	0	0	525.284	0	0	-7.79826
Oahu	2025-03-23-06:00	585.446	0	0	607.154	0	0	-21.7079
Oahu	2025-03-23-08:00	966.532	0	0	772.137	0	0	194.395
Oahu	2025-03-23-10:00	1040.01	0	0	823.563	128.639	0	87.8046
Oahu	2025-03-23-12:00	1082.58	0	0	830.863	50.5342	284.268	-83.0863
Oahu	2025-03-23-14:00	904.243	0	0	827.243	0	0	76.9998
Oahu	2025-03-23-16:00	1025.96	0	0	841.227	113.188	0	71.5481
Oahu	2025-03-23-18:00	799.656	0	0	888.507	0	0	-88.8507
Oahu	2025-03-23-20:00	765.513	0	0	850.57	0	0	-85.057
Oahu	2025-03-23-22:00	627.493	0	0	697.214	0	0	-69.7214
Oahu	2025-04-23-00:00	549.417	0	0	548.742	24.9289	30.6206	-54.8742
Oahu	2025-04-23-02:00	504.625	0	0	504.374	50.6878	0	-50.4374
Oahu	2025-04-23-04:00	507.955	0	0	564.394	0	0	-56.4394
Oahu	2025-04-23-06:00	714.725	0	0	794.139	0	0	-79.4139
Oahu	2025-04-23-08:00	1065.29	0	0	919.174	0	238.037	-91.9174
Oahu	2025-04-23-10:00	1242.16	0	0	978.364	35.0834	0	228.714
Oahu	2025-04-23-12:00	1320.63	0	0	999.052	0	0	321.578
Oahu	2025-04-23-14:00	1257.92	0	0	1003.41	128.639	15.6105	110.263
Oahu	2025-04-23-16:00	1057.84	0	0	991.994	128.639	0	-62.7969
Oahu	2025-04-23-18:00	893.896	0	0	993.218	0	0	-99.3218
Oahu	2025-04-23-20:00	842.726	0	0	936.363	0	0	-93.6363
Oahu	2025-04-23-22:00	645.465	0	0	717.183	0	0	-71.7183
Oahu	2025-05-23-00:00	642.06	0	0	612.543	0	0	29.5165
Oahu	2025-05-23-02:00	604.126	0	0	565.395	5.06781	90.2028	-56.5395
Oahu	2025-05-23-04:00	618.777	0	0	635.688	0	0	-16.9109
Oahu	2025-05-23-06:00	776.132	0	0	862.369	0	0	-86.2369
Oahu	2025-05-23-08:00	1183.83	0	0	989.911	85.3347	0	108.584
Oahu	2025-05-23-10:00	1270.2	0	0	1041.27	0	0	228.937
Oahu	2025-05-23-12:00	1303.81	0	0	1051.59	0	194.066	58.1552
Oahu	2025-05-23-14:00	1161.73	0	0	1039.83	128.639	0	-6.73488
Oahu	2025-05-23-16:00	1001.16	0	0	994.562	0	0	6.59563
Oahu	2025-05-23-18:00	872.401	0	0	969.335	0	0	-96.9335
Oahu	2025-05-23-20:00	831.552	0	0	923.946	0	0	-92.3946
Oahu	2025-05-23-22:00	737.224	0	0	760.378	52.8837	0	-76.0378
Oahu	2025-06-23-00:00	535.3	0	0	594.778	0	0	-59.4778
Oahu	2025-06-23-02:00	492.512	0	0	547.235	0	0	-54.7235
Oahu	2025-06-23-04:00	599.641	0	0	609.692	33.6957	0	-43.7462
Oahu	2025-06-23-06:00	735.382	0	0	817.092	0	0	-81.7092
Oahu	2025-06-23-08:00	1144.47	0	0	955.806	47.6256	0	141.042
Oahu	2025-06-23-10:00	1270.15	0	0	1026.93	65.5573	0	177.66
Oahu	2025-06-23-12:00	1354.42	0	0	1046.88	128.639	0	178.907
Oahu	2025-06-23-14:00	1305.49	0	0	1048.67	50.5397	284.268	-77.9898
Oahu	2025-06-23-16:00	1119.35	0	0	1024.35	0	0	94.9978
Oahu	2025-06-23-18:00	896.134	0	0	995.705	0	0	-99.5705
Oahu	2025-06-23-20:00	881.756	0	0	979.729	0	0	-97.9729
Oahu	2025-06-23-22:00	696.753	0	0	774.17	0	0	-77.417
Oahu	2025-07-23-00:00	737.508	0	0	647.022	0	0	90.4853
Oahu	2025-07-23-02:00	692.47	0	0	594.293	0	0	98.1776
Oahu	2025-07-23-04:00	584.158	0	0	649.065	0	0	-64.9065
Oahu	2025-07-23-06:00	772.605	0	0	851.783	0	6.00042	-85.1783
Oahu	2025-07-23-08:00	1034.53	0	0	981.185	38.7185	0	14.6251
Oahu	2025-07-23-10:00	1307.36	0	0	1053.48	59.9658	133.913	60.0048
Oahu	2025-07-23-12:00	1312.98	0	0	1068.15	76.7172	0	168.114
Oahu	2025-07-23-14:00	1223.53	0	0	1062.76	57.7143	0	103.059
Oahu	2025-07-23-16:00	1117.83	0	0	1048.92	29.4497	144.355	-104.892
Oahu	2025-07-23-18:00	915.727	0	0	1017.47	0	0	-101.747
Oahu	2025-07-23-20:00	886.834	0	0	985.371	0	0	-98.5371
Oahu	2025-07-23-22:00	712.842	0	0	792.046	0	0	-79.2046
Oahu	2025-08-23-00:00	575.222	0	0	639.136	0	0	-63.9136
Oahu	2025-08-23-02:00	518.784	0	0	576.426	0	0	-57.6426
Oahu	2025-08-23-04:00	531.041	0	0	590.046	0	0	-59.0046
Oahu	2025-08-23-06:00	632.98	0	0	703.311	0	0	-70.3311
Oahu	2025-08-23-08:00	1231.03	0	0	893.673	56.9702	0	280.387
Oahu	2025-08-23-10:00	1038.18	0	0	964.775	62.9681	0	10.4352
Oahu	2025-08-23-12:00	1276.82	0	0	970.285	59.6749	32.7243	214.137
Oahu	2025-08-23-14:00	1200.6	0	0	964.906	80.6431	251.544	-96.4906
Oahu	2025-08-23-16:00	1095.8	0	0	957.121	32.1054	0	106.575
Oahu	2025-08-23-18:00	848.25	0	0	942.5	0	0	-94.25
Oahu	2025-08-23-20:00	822.697	0	0	914.108	0	0	-91.4108
Oahu	2025-08-23-22:00	706.417	0	0	784.908	0	0	-78.4908
Oahu	2025-09-23-00:00	541.07	0	0	601.189	0	0	-60.1189
Oahu	2025-09-23-02:00	561.323	0	0	560.117	57.2172	0	-56.0117
Oahu	2025-09-23-04:00	650.08	0	0	636.143	77.5514	0	-63.6143
Oahu	2025-09-23-06:00	772.274	0	0	858.082	0	0	-85.8082
Oahu	2025-09-23-08:00	1189.08	0	0	976.999	50.8938	26.4961	134.691
Oahu	2025-09-23-10:00	1209.13	0	0	1028.37	126.328	0	54.4257
Oahu	2025-09-23-12:00	1352.12	0	0	1052.3	51.1906	0	248.637
Oahu	2025-09-23-14:00	1286.58	0	0	1053.58	25.2742	0	207.722
Oahu	2025-09-23-16:00	1223.96	0	0	1030.57	38.6746	257.772	-103.057
Oahu	2025-09-23-18:00	967.57	0	0	1075.08	0	0	-107.508
Oahu	2025-09-23-20:00	856.522	0	0	951.691	0	0	-95.1691
Oahu	2025-09-23-22:00	667.706	0	0	741.895	0	0	-74.1895
Oahu	2025-10-23-00:00	634.13	0	0	596.062	97.6738	0	-59.6062
Oahu	2025-10-23-02:00	515.393	0	0	552.837	17.8399	0	-55.2837
Oahu	2025-10-23-04:00	550.051	0	0	611.168	0	0	-61.1168
Oahu	2025-10-23-06:00	746.566	0	0	829.518	0	0	-82.9518
Oahu	2025-10-23-08:00	1178.39	0	0	941.135	47.1015	284.268	-94.1135
Oahu	2025-10-23-10:00	1336.79	0	0	994.946	62.944	0	278.903
Oahu	2025-10-23-12:00	1338.07	0	0	1015.31	84.2802	0	238.484
Oahu	2025-10-23-14:00	1276	0	0	1010.39	63.4143	0	202.2
Oahu	2025-10-23-16:00	929.511	0	0	990.831	34.6217	0	-95.942
Oahu	2025-10-23-18:00	938.959	0	0	1043.29	0	0	-104.329
Oahu	2025-10-23-20:00	832.17	0	0	924.634	0	0	-92.4634
Oahu	2025-10-23-22:00	664.038	0	0	737.82	0	0	-73.782
Oahu	2025-11-23-00:00	499.219	0	0	554.687	0	0	-55.4687
Oahu	2025-11-23-02:00	510.564	0	0	511.533	47.2299	2.95401	-51.1533
Oahu	2025-11-23-04:00	479.699	0	0	532.999	0	0	-53.2999
Oahu	2025-11-23-06:00	558.988	0	0	621.097	0	0	-62.1097
Oahu	2025-11-23-08:00	940.622	0	0	784.706	15.1387	219.249	-78.4706
Oahu	2025-11-23-10:00	1129.53	0	0	859.7	51.9143	62.0658	155.846
