gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Kahe_3,multiple,2030,117.66170447084173,1138062.1792716498,97943.70332199571,86.1,2797411.666725151,848802.2710836965,40.66128515303048,0.15600117797458848,0.0,0.0
Kahe_3,multiple,2035,172.57922468638833,1669242.2519875616,138233.99412216872,86.1,2797411.666725151,848802.2710836965,30.800093113500058,0.2288132954226374,0.0,0.0
Kahe_4,multiple,2020,44.87281427897379,434024.4180385498,43179.773400586244,85.3,2778485.5404078793,840915.6065440107,90.33143185070448,0.06005237260779012,0.0,0.0
Kahe_4,multiple,2025,152.89688897714962,1478868.3153600888,130452.600110579,85.3,2778485.5404078793,840915.6065440107,33.34449442639682,0.2046187896828674,0.0,0.0
Kahe_4,multiple,2030,0.0,0.0,0.0,85.3,2778485.5404078793,840915.6065440107,0.0,0.0,0.0,0.0
Kahe_4,multiple,2035,10.374400487610501,100344.56733960325,8234.70435444397,85.3,2778485.5404078793,840915.6065440107,358.5504259965435,0.013883848688232376,0.0,0.0
Kahe_5,multiple,2020,387.18161615832184,3744946.2069305256,331171.77170655236,134.3,4340868.4894205015,1323973.809599773,24.30329363081913,0.3291050977657886,0.0,0.0
Kahe_5,multiple,2025,480.30331719091015,4645649.511299989,387193.3248444109,134.3,4340868.4894205015,1323973.809599773,21.46662627820675,0.40825871778145273,0.0,0.0
Kahe_5,multiple,2030,71.98842804346523,696295.4316354404,59027.24455516128,134.3,4340868.4894205015,1323973.809599773,88.36333704654562,0.06119029845560205,0.0,0.0
Kahe_5,multiple,2035,17.920044016506203,173328.4796254409,13775.405649214677,134.3,4340868.4894205015,1323973.809599773,325.78997982751383,0.015232070924586307,0.0,0.0
