BALANCING_AREA_TIMEPOINTS_1	BALANCING_AREA_TIMEPOINTS_2	MaximumContingencyDown
system_wide_balancing_area	2030062320	89.6063723854
system_wide_balancing_area	2030062322	76.1844616127
system_wide_balancing_area	2030072300	67.8824184203
system_wide_balancing_area	2030072302	64.4394661464
system_wide_balancing_area	2030072304	68.0157805627
system_wide_balancing_area	2030072306	81.2521746665
system_wide_balancing_area	2030072308	89.7014456989
system_wide_balancing_area	2030072310	94.4218917288
system_wide_balancing_area	2030072312	95.3798458266
system_wide_balancing_area	2030072314	95.0279528738
system_wide_balancing_area	2030072316	94.124139873
system_wide_balancing_area	2030072318	92.0709125124
system_wide_balancing_area	2030072320	89.9747703942
system_wide_balancing_area	2030072322	77.3516986929
system_wide_balancing_area	2030082300	67.3674614775
system_wide_balancing_area	2030082302	63.2728858836
system_wide_balancing_area	2030082304	64.1621803988
system_wide_balancing_area	2030082306	71.5577672025
system_wide_balancing_area	2030082308	83.9873920713
system_wide_balancing_area	2030082310	88.6299387497
system_wide_balancing_area	2030082312	88.9897457479
system_wide_balancing_area	2030082314	88.6385217012
system_wide_balancing_area	2030082316	88.1301611395
system_wide_balancing_area	2030082318	87.1755112766
system_wide_balancing_area	2030082320	85.3216622529
system_wide_balancing_area	2030082322	76.8855960713
system_wide_balancing_area	2030092300	64.8897245589
system_wide_balancing_area	2030092302	62.207979345
system_wide_balancing_area	2030092304	67.1720401633
system_wide_balancing_area	2030092306	81.6634793738
system_wide_balancing_area	2030092308	89.4281210037
system_wide_balancing_area	2030092310	92.7826044042
system_wide_balancing_area	2030092312	94.3446451652
system_wide_balancing_area	2030092314	94.4284921394
system_wide_balancing_area	2030092316	92.925871192
system_wide_balancing_area	2030092318	95.8320827505
system_wide_balancing_area	2030092320	87.7756328579
system_wide_balancing_area	2030092322	74.0770971847
system_wide_balancing_area	2030102300	64.5550015387
system_wide_balancing_area	2030102302	61.7326369544
system_wide_balancing_area	2030102304	65.5413438493
system_wide_balancing_area	2030102306	79.7984080403
system_wide_balancing_area	2030102308	87.0863855857
system_wide_balancing_area	2030102310	90.5999799831
system_wide_balancing_area	2030102312	91.9296282655
system_wide_balancing_area	2030102314	91.608110096
system_wide_balancing_area	2030102316	90.3312731576
system_wide_balancing_area	2030102318	93.7564027111
system_wide_balancing_area	2030102320	86.0089310138
system_wide_balancing_area	2030102322	73.811033747
system_wide_balancing_area	2030112300	61.8534510634
system_wide_balancing_area	2030112302	59.0357083784
system_wide_balancing_area	2030112304	60.4373204781
system_wide_balancing_area	2030112306	66.1896629345
system_wide_balancing_area	2030112308	76.8723952501
system_wide_balancing_area	2030112310	81.7691141502
system_wide_balancing_area	2030112312	81.339982693
system_wide_balancing_area	2030112314	80.5259522004
system_wide_balancing_area	2030112316	82.6240768595
system_wide_balancing_area	2030112318	89.4347214143
system_wide_balancing_area	2030112320	82.3936628922
system_wide_balancing_area	2030112322	71.3280140822
system_wide_balancing_area	2030122300	62.1670471283
system_wide_balancing_area	2030122302	58.4692577561
system_wide_balancing_area	2030122304	62.4826257342
system_wide_balancing_area	2030122306	75.467482945
system_wide_balancing_area	2030122308	83.871195832
system_wide_balancing_area	2030122310	87.7030122231
system_wide_balancing_area	2030122312	87.7716758352
system_wide_balancing_area	2030122314	87.2349310902
system_wide_balancing_area	2030122316	86.0287403047
system_wide_balancing_area	2030122318	90.4091805681
system_wide_balancing_area	2030122320	84.3366416362
system_wide_balancing_area	2030122322	74.1226513006
system_wide_balancing_area	2035012300	61.8937762477
system_wide_balancing_area	2035012302	58.9148411146
system_wide_balancing_area	2035012304	63.786485417
system_wide_balancing_area	2035012306	80.5800211443
system_wide_balancing_area	2035012308	84.94471863
system_wide_balancing_area	2035012310	87.2638674702
system_wide_balancing_area	2035012312	87.8943152135
system_wide_balancing_area	2035012314	87.3812216688
system_wide_balancing_area	2035012316	86.9213497939
system_wide_balancing_area	2035012318	93.0463894085
system_wide_balancing_area	2035012320	85.3868499482
system_wide_balancing_area	2035012322	71.6520818588
system_wide_balancing_area	2035022300	64.288659774
system_wide_balancing_area	2035022302	60.0720251405
system_wide_balancing_area	2035022304	61.0313436577
system_wide_balancing_area	2035022306	68.755019811
system_wide_balancing_area	2035022308	81.0146481238
system_wide_balancing_area	2035022310	86.0787066699
system_wide_balancing_area	2035022312	86.2717955545
system_wide_balancing_area	2035022314	85.9831825178
system_wide_balancing_area	2035022316	86.9302200722
system_wide_balancing_area	2035022318	90.4440829609
system_wide_balancing_area	2035022320	85.2196847643
system_wide_balancing_area	2035022322	75.481851589
system_wide_balancing_area	2035032300	64.0559961219
system_wide_balancing_area	2035032302	60.1539023902
system_wide_balancing_area	2035032304	60.9358236701
system_wide_balancing_area	2035032306	66.4604328964
system_wide_balancing_area	2035032308	77.593577508
system_wide_balancing_area	2035032310	81.0637761394
system_wide_balancing_area	2035032312	81.5563972483
system_wide_balancing_area	2035032314	81.3121314388
system_wide_balancing_area	2035032316	82.2557583087
system_wide_balancing_area	2035032318	85.4462100173
system_wide_balancing_area	2035032320	82.8862060519
system_wide_balancing_area	2035032322	72.5377104349
system_wide_balancing_area	2035042300	62.5187643971
system_wide_balancing_area	2035042302	59.5248205865
system_wide_balancing_area	2035042304	63.574973006
system_wide_balancing_area	2035042306	79.0782705327
system_wide_balancing_area	2035042308	87.5156334541
system_wide_balancing_area	2035042310	91.5098406534
system_wide_balancing_area	2035042312	92.905830895
system_wide_balancing_area	2035042314	93.19990769
system_wide_balancing_area	2035042316	92.4295844031
system_wide_balancing_area	2035042318	92.5121487871
system_wide_balancing_area	2035042320	88.6755493591
system_wide_balancing_area	2035042322	73.8852597951
system_wide_balancing_area	2035052300	66.8241018138
system_wide_balancing_area	2035052302	63.6425203835
system_wide_balancing_area	2035052304	68.3858954642
system_wide_balancing_area	2035052306	83.682457204
system_wide_balancing_area	2035052308	92.2890342186
system_wide_balancing_area	2035052310	95.7544478971
system_wide_balancing_area	2035052312	96.4510854072
system_wide_balancing_area	2035052314	95.6575661343
system_wide_balancing_area	2035052316	92.6028921507
system_wide_balancing_area	2035052318	90.9005399868
system_wide_balancing_area	2035052320	87.8376870236
system_wide_balancing_area	2035052322	76.8000623996
system_wide_balancing_area	2035062300	65.6252941111
system_wide_balancing_area	2035062302	62.4171018459
system_wide_balancing_area	2035062304	66.6316917345
system_wide_balancing_area	2035062306	80.6271002505
system_wide_balancing_area	2035062308	89.987625935
system_wide_balancing_area	2035062310	94.7869462358
system_wide_balancing_area	2035062312	96.1331296564
system_wide_balancing_area	2035062314	96.2538987039
system_wide_balancing_area	2035062316	94.6129555185
system_wide_balancing_area	2035062318	92.6799927763
system_wide_balancing_area	2035062320	91.6019499566
system_wide_balancing_area	2035062322	77.7307211725
system_wide_balancing_area	2035072300	69.1507549928
system_wide_balancing_area	2035072302	65.592544877
system_wide_balancing_area	2035072304	69.288581627
system_wide_balancing_area	2035072306	82.9680833017
system_wide_balancing_area	2035072308	91.7002059878
system_wide_balancing_area	2035072310	96.5786758236
system_wide_balancing_area	2035072312	97.56869883
system_wide_balancing_area	2035072314	97.2050257481
system_wide_balancing_area	2035072316	96.2709562907
system_wide_balancing_area	2035072318	94.1489941538
system_wide_balancing_area	2035072320	91.9826806253
system_wide_balancing_area	2035072322	78.937033214
system_wide_balancing_area	2035082300	68.6185591163
system_wide_balancing_area	2035082302	64.3869116408
system_wide_balancing_area	2035082304	65.3059765852
system_wide_balancing_area	2035082306	72.9491414283
system_wide_balancing_area	2035082308	85.7948660928
system_wide_balancing_area	2035082310	90.5928287829
system_wide_balancing_area	2035082312	90.9646808444
system_wide_balancing_area	2035082314	90.6016990612
system_wide_balancing_area	2035082316	90.0763203892
system_wide_balancing_area	2035082318	89.0897122317
system_wide_balancing_area	2035082320	87.173802912
system_wide_balancing_area	2035082322	78.4553271282
system_wide_balancing_area	2035092300	66.0578763456
system_wide_balancing_area	2035092302	63.2863558048
system_wide_balancing_area	2035092304	68.4165957889
system_wide_balancing_area	2035092306	83.393157033
system_wide_balancing_area	2035092308	91.4177313503
system_wide_balancing_area	2035092310	94.8845109683
system_wide_balancing_area	2035092312	96.4988433188
system_wide_balancing_area	2035092314	96.5854971925
system_wide_balancing_area	2035092316	95.0325738205
system_wide_balancing_area	2035092318	98.0360750436
system_wide_balancing_area	2035092320	89.7099237571
system_wide_balancing_area	2035092322	75.552809651
system_wide_balancing_area	2035102300	65.7119479848
system_wide_balancing_area	2035102302	62.7951006355
system_wide_balancing_area	2035102304	66.7313095409
system_wide_balancing_area	2035102306	81.4656497203
system_wide_balancing_area	2035102308	88.9976029286
system_wide_balancing_area	2035102310	92.6288200158
system_wide_balancing_area	2035102312	94.002980211
system_wide_balancing_area	2035102314	93.6706987525
system_wide_balancing_area	2035102316	92.3511178379
system_wide_balancing_area	2035102318	95.8909085918
system_wide_balancing_area	2035102320	87.8840789956
system_wide_balancing_area	2035102322	75.2778393522
system_wide_balancing_area	2035112300	62.9199591727
system_wide_balancing_area	2035112302	60.0078884474
system_wide_balancing_area	2035112304	61.4564215535
system_wide_balancing_area	2035112306	67.4013320516
system_wide_balancing_area	2035112308	78.4416843903
system_wide_balancing_area	2035112310	83.5023280875
system_wide_balancing_area	2035112312	83.0588308297
system_wide_balancing_area	2035112314	82.2175494808
system_wide_balancing_area	2035112316	84.3859119186
system_wide_balancing_area	2035112318	91.4245527192
system_wide_balancing_area	2035112320	84.1477845082
system_wide_balancing_area	2035112322	72.7116969877
system_wide_balancing_area	2035122300	63.2440533226
system_wide_balancing_area	2035122302	59.4224750655
system_wide_balancing_area	2035122304	63.5701963819
system_wide_balancing_area	2035122306	76.9897405997
system_wide_balancing_area	2035122308	85.6747800151
system_wide_balancing_area	2035122310	89.6348720408
system_wide_balancing_area	2035122312	89.7058342673
system_wide_balancing_area	2035122314	89.1511212101
system_wide_balancing_area	2035122316	87.9045514314
system_wide_balancing_area	2035122318	92.4316333125
system_wide_balancing_area	2035122320	86.1558072955
system_wide_balancing_area	2035122322	75.5998887573
system_wide_balancing_area	2040012300	64.7394854087
system_wide_balancing_area	2040012302	61.7640321926
system_wide_balancing_area	2040012304	66.629982292
system_wide_balancing_area	2040012306	83.4038889589
system_wide_balancing_area	2040012308	87.7634847846
system_wide_balancing_area	2040012310	90.0799228965
system_wide_balancing_area	2040012312	90.7096337433
system_wide_balancing_area	2040012314	90.197139926
system_wide_balancing_area	2040012316	89.7378055707
system_wide_balancing_area	2040012318	95.855685956
system_wide_balancing_area	2040012320	88.2050993193
system_wide_balancing_area	2040012322	74.4863850614
system_wide_balancing_area	2040022300	67.1315696845
system_wide_balancing_area	2040022302	62.9198636483
system_wide_balancing_area	2040022304	63.8780608697
system_wide_balancing_area	2040022306	71.5927092335
system_wide_balancing_area	2040022308	83.8380079263
system_wide_balancing_area	2040022310	88.8961473669
system_wide_balancing_area	2040022312	89.0890105602
system_wide_balancing_area	2040022314	88.8007348678
system_wide_balancing_area	2040022316	89.746665481
system_wide_balancing_area	2040022318	93.2564212044
system_wide_balancing_area	2040022320	88.0381295258
system_wide_balancing_area	2040022322	78.3116783797
system_wide_balancing_area	2040032300	66.8991779804
system_wide_balancing_area	2040032302	63.0016451961
system_wide_balancing_area	2040032304	63.7826525303
system_wide_balancing_area	2040032306	69.3008043381
