GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_OnshoreWind_OnWind_303,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_303,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_303,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_304,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_304,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_304,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_304,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_304,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_304,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_305,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_305,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_305,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_305,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_305,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_305,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_306,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_306,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_306,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_306,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_306,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_306,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_307,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_307,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_307,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_307,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_307,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_307,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_308,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_308,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_308,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_308,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_308,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_308,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_309,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_309,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_309,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_309,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_309,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_309,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_401,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_401,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_401,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_401,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_401,2040,2066733.99942,.,27400.0
