generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
C-Central_PV-2,2025011612,0.0,-2.77441135770409e-15,-3.0400445987361107e-15,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.7440000000001
C-Central_PV-2,2025061500,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,2191.5
C-Central_PV-2,2025061512,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,2191.5
C-Central_PV-2,2035011512,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2030,8766.0
C-Wind-1,2025011500,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-1,2025011512,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-1,2025011600,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-1,2025011612,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-1,2025061500,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,2191.5
C-Wind-1,2025061512,0.0,0.0,0.0,0.0,C-Wind-1,Wind,Central,Wind,2020,2191.5
C-Wind-1,2035011512,0.0,3.1808,27.8828928,0.0,C-Wind-1,Wind,Central,Wind,2030,8766.0
C-Wind-2,2025011500,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-2,2025011512,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-2,2025011600,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-2,2025011612,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,1095.7440000000001
C-Wind-2,2025061500,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,2191.5
C-Wind-2,2025061512,0.0,-2.36217664813863e-16,-5.176710124395808e-16,0.0,C-Wind-2,Wind,Central,Wind,2020,2191.5
C-Wind-2,2035011512,0.0,2.56452,22.48058232,0.0,C-Wind-2,Wind,Central,Wind,2030,8766.0
S-Geothermal,2025011500,0.0,2.90574225,3.183949635984,110151.92160650247,S-Geothermal,Geothermal,South,Geothermal,2020,1095.7440000000001
S-Geothermal,2025011512,0.0,2.90574225,3.183949635984,110151.92160650247,S-Geothermal,Geothermal,South,Geothermal,2020,1095.7440000000001
S-Geothermal,2025011600,0.0,2.90574225,3.183949635984,110151.92160650247,S-Geothermal,Geothermal,South,Geothermal,2020,1095.7440000000001
S-Geothermal,2025011612,0.0,2.90574225,3.183949635984,110151.92160650247,S-Geothermal,Geothermal,South,Geothermal,2020,1095.7440000000001
S-Geothermal,2025061500,0.0,2.90574225,6.367934140875,220305.04953771146,S-Geothermal,Geothermal,South,Geothermal,2020,2191.5
S-Geothermal,2025061512,0.0,2.90574225,6.367934140875,220305.04953771146,S-Geothermal,Geothermal,South,Geothermal,2020,2191.5
S-Geothermal,2035011512,0.0,2.90574225,25.4717365635,881220.1981508458,S-Geothermal,Geothermal,South,Geothermal,2030,8766.0
S-NG_CC,2025011500,1609.014854442043,4.12747949541478,4.522660892223773,18523.552669498753,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.7440000000001
S-NG_CC,2025011512,1748.7851309724153,4.48602121356916,4.915530828641126,20132.63792548203,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.7440000000001
S-NG_CC,2025011600,1542.961538379384,3.9580381090285,4.3369965097393255,17763.12334486955,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.7440000000001
S-NG_CC,2025011612,1831.1145680096254,4.69721445538542,5.146944556201841,21080.443757727007,S-NG_CC,NaturalGas,South,NG_CC,2020,1095.7440000000001
S-NG_CC,2025061500,3664.4209783650003,4.7,10.30005,42186.120786,S-NG_CC,NaturalGas,South,NG_CC,2020,2191.5
S-NG_CC,2025061512,3664.4209783650003,4.70000000000001,10.300050000000022,42186.12078600009,S-NG_CC,NaturalGas,South,NG_CC,2020,2191.5
S-NG_CC,2035011512,0.0,0.0,0.0,0.0,S-NG_CC,NaturalGas,South,NG_CC,2030,8766.0
S-NG_CC_CCS,2035011512,0.0,0.0,0.0,0.0,S-NG_CC_CCS,NaturalGas,South,NG_CC_CCS,2030,8766.0
S-NG_GT,2025011500,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.7440000000001
S-NG_GT,2025011512,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.7440000000001
S-NG_GT,2025011600,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.7440000000001
S-NG_GT,2025011612,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.7440000000001
S-NG_GT,2025061500,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,2191.5
S-NG_GT,2025061512,1663.5115879882933,1.37689734437147,3.0174705301900766,100688.16363959455,S-NG_GT,NaturalGas,South,NG_GT,2020,2191.5
S-NG_GT,2035011512,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2030,8766.0
S-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,S-Biomass_IGCC,BioSolid,South,Biomass_IGCC,2020,1095.7440000000001
