load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2025-06-23-20:00	881.756	0	0	979.729	0	0	-97.9729
Oahu	2025-06-23-22:00	696.753	0	0	774.17	0	0	-77.417
Oahu	2025-07-23-00:00	717.168	0	0	647.022	36.2642	0	33.8815
Oahu	2025-07-23-02:00	674.479	0	0	594.293	8.42847	0	71.7576
Oahu	2025-07-23-04:00	584.158	0	0	649.065	0	0	-64.9065
Oahu	2025-07-23-06:00	861.573	0	0	851.783	0	0	9.78985
Oahu	2025-07-23-08:00	1002.81	0	0	981.185	36.2642	0	-14.6399
Oahu	2025-07-23-10:00	1241.41	0	0	1053.48	36.2642	0	151.665
Oahu	2025-07-23-12:00	1256.5	0	0	1068.15	0	83.8098	104.537
Oahu	2025-07-23-14:00	1155.06	0	0	1062.76	0	0	92.2967
Oahu	2025-07-23-16:00	1144.49	0	0	1048.92	0	200.459	-104.892
Oahu	2025-07-23-18:00	915.727	0	0	1017.47	0	0	-101.747
Oahu	2025-07-23-20:00	886.834	0	0	985.371	0	0	-98.5371
Oahu	2025-07-23-22:00	712.842	0	0	792.046	0	0	-79.2046
Oahu	2025-08-23-00:00	575.222	0	0	639.136	0	0	-63.9136
Oahu	2025-08-23-02:00	524.242	0	0	576.426	0	5.45839	-57.6426
Oahu	2025-08-23-04:00	550.6	0	0	590.046	0	19.5585	-59.0046
Oahu	2025-08-23-06:00	632.98	0	0	703.311	0	0	-70.3311
Oahu	2025-08-23-08:00	1071.54	0	0	893.673	14.3581	0	163.513
Oahu	2025-08-23-10:00	1138.63	0	0	964.775	0	0	173.859
Oahu	2025-08-23-12:00	1202.8	0	0	970.285	0	0	232.513
Oahu	2025-08-23-14:00	1127.67	0	0	964.906	0	259.252	-96.4906
Oahu	2025-08-23-16:00	998.77	0	0	957.121	0	0	41.6495
Oahu	2025-08-23-18:00	848.25	0	0	942.5	0	0	-94.25
Oahu	2025-08-23-20:00	822.697	0	0	914.108	0	0	-91.4108
Oahu	2025-08-23-22:00	706.417	0	0	784.908	0	0	-78.4908
Oahu	2025-09-23-00:00	541.07	0	0	601.189	0	0	-60.1189
Oahu	2025-09-23-02:00	551.987	0	0	560.117	0	0	-8.12957
Oahu	2025-09-23-04:00	635.601	0	0	636.143	10.9548	52.1182	-63.6143
Oahu	2025-09-23-06:00	772.274	0	0	858.082	0	0	-85.8082
Oahu	2025-09-23-08:00	1121.72	0	0	976.999	0	0	144.721
Oahu	2025-09-23-10:00	1155.86	0	0	1028.37	0	0	127.482
Oahu	2025-09-23-12:00	1287.54	0	0	1052.3	36.2642	0	198.979
Oahu	2025-09-23-14:00	1215.66	0	0	1053.58	0	232.15	-70.0699
Oahu	2025-09-23-16:00	1160.26	0	0	1030.57	36.2642	0	93.4251
