load_zone,period,timepoint_label,Biodiesel,Coal,Diesel,LNG,LSFO,Pellet-Biomass,MSW,SUN,WND,Battery,Battery_4,Battery_6,Battery_Conting,Battery_Reg,CentralTrackingPV,FlatDistPV,H-Power,OffshoreWind,OnshoreWind,SlopedDistPV,curtail_MSW,curtail_SUN,curtail_WND,curtail_Battery,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
Oahu,2020,2020-05-23-04:00,0.0,180.0,0.0,0.0,481.986,0.0,42.8,0.0,4.8324101187499995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,4.8324101187499995,0.0,0.0,0.0,4.440892098500626e-16,260.8716925035,709.61841011875,0.0,641.40330925,0.0,118.101845403,-49.886744534,490.2271242975,184.83241011875,0.0,typical
Oahu,2020,2020-05-23-06:00,0.0,180.0,0.0,0.0,512.7952561581001,0.0,42.8,61.770863661898,10.623568044999999,0.0,0.0,0.0,0.0,0.0,27.347388778550002,8.569968411232,42.8,0.0,10.623568044999999,25.853506472116,0.0,1.797428872407636e-11,-8.881784197001252e-16,260.8716925035,807.989687864998,0.0,897.76631985,0.0,0.0,-89.776631985,327.0624363454,252.39443170691598,0.0,typical
Oahu,2020,2020-05-23-08:00,0.0,180.0,0.0,0.0,481.986,0.0,42.8,361.6232054803,0.0549760635,0.0,0.0,0.0,0.0,0.0,179.6334547688,72.1310008008,42.8,0.0,0.0549760635,109.8587499107,0.0,-1.8120616118721955e-11,-3.469446951953614e-18,260.8716925035,1066.4641815438,0.0,1042.00840719,0.0,0.0,24.455774354,486.5283075765,315.34420906281616,0.0,typical
Oahu,2020,2020-05-23-10:00,0.0,180.0,0.0,0.0,481.986,0.0,42.8,401.93390975075994,1.39270615,0.0,0.0,0.0,0.0,0.0,124.6675046,112.66237688199999,42.8,0.0,1.39270615,164.60402826876,0.0,-1.2001066806988092e-10,-1.1102230246251565e-16,260.8716925035,1108.11261590076,0.0,1100.0870721,0.0,0.0,8.02554380073,475.9059435145,319.31968451499455,0.0,typical
Oahu,2020,2020-05-23-12:00,0.0,180.0,0.0,0.0,481.0518276639,0.0,42.8,457.6852081035,7.570465024999999,0.0,0.0,0.0,0.0,0.0,195.1815964547,109.179559496,42.8,0.0,7.570465024999999,153.3240521528,0.0,-5.926992230342876e-11,0.0,260.8716925035,1169.1075007924003,0.0,1111.76238139,0.0,0.0,57.3451194026,527.3272223816,325.49744338999454,0.0,typical
Oahu,2020,2020-05-23-14:00,0.0,180.0,0.0,0.0,469.486,0.0,42.8,379.2535176899,19.138624976,0.0,0.0,0.0,0.0,0.0,137.2083304105,100.8284715076,42.8,0.0,19.138624976,141.2167157718,0.0,-4.0386893829236215e-10,1.7763568394002505e-15,260.8716925035,1090.6781426659,0.0,1098.4633804,0.0,0.0,-7.78523773436,472.43279280950003,337.0656033409945,0.0,typical
Oahu,2020,2020-05-23-16:00,0.0,180.0,0.0,0.0,469.486,0.0,42.8,281.44038329808,23.7202850325,0.0,0.0,0.0,0.0,0.0,156.41946131606,52.069418821599996,42.8,0.0,23.7202850325,72.95150316041999,0.0,-5.149924930947236e-10,0.0,260.8716925035,997.4466683305799,0.0,1047.26851503,0.0,0.0,-49.8218466997,425.27669730680003,338.86537511686066,0.0,typical
Oahu,2020,2020-05-23-18:00,0.0,180.0,0.0,0.0,602.964574297,0.0,42.8,38.11604989087,52.9834969,0.0,0.0,0.0,0.0,0.0,19.537445619888,6.32687940188,42.8,0.0,52.9834969,12.251724869102,0.0,-6.591371892739062e-11,4.440892098500626e-16,260.8716925035,916.8641210878702,0.0,1018.73791232,0.0,0.0,-101.873791232,285.7331182063,271.0995467908041,0.0,typical
Oahu,2020,2020-05-23-20:00,0.0,180.0,0.0,0.0,514.4085843227999,0.0,42.8,0.0,133.45678975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,133.45678975,0.0,0.0,0.0,-3.552713678800501e-15,260.8716925035,870.6653740728,0.0,967.405971192,0.0,0.0,-96.7405971192,325.4491081807,278.30882632500004,0.0,typical
Oahu,2020,2020-05-23-22:00,0.0,180.0,0.0,0.0,469.486,0.0,42.8,0.0,118.45250940000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,118.45250940000001,0.0,0.0,0.0,8.881784197001252e-16,260.8716925035,810.7385094,0.0,782.42069629,0.0,0.0,28.31781311,476.9315752425,283.69929735,0.0,typical
Oahu,2020,2020-06-23-00:00,0.0,180.0,0.0,0.0,206.985,0.0,42.8,0.0,183.63820200000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,183.63820200000004,0.0,0.0,0.0,1.7763568394002505e-15,260.8716925035,613.4232020000001,0.0,595.136959596,0.0,0.0,18.286242404,372.2726308671,295.548150825,0.0,typical
Oahu,2020,2020-06-23-02:00,0.0,180.0,0.0,0.0,206.49160934399998,0.0,42.8,0.0,210.38165049999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,210.38165049999998,0.0,0.0,0.0,0.0,260.8716925035,639.673259844,0.0,541.369201738,0.0,0.0,98.3040581055,447.4070614390001,306.472706355,0.0,typical
Oahu,2020,2020-06-23-04:00,0.0,180.0,0.0,0.0,203.97199999999998,0.0,42.8,0.0,328.8466185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,328.8466185,0.0,0.0,0.0,1.4210854715202004e-14,260.8716925035,755.6186185,0.0,612.00369926,0.0,118.101845403,25.5130738373,502.30098166978996,306.827147055,0.0,typical
Oahu,2020,2020-06-23-06:00,0.0,180.0,0.0,0.0,212.1719432,0.0,42.8,56.088153243787005,298.9144065,0.0,0.0,0.0,0.0,0.0,29.10905314608,6.270046483982,42.8,0.0,298.9144065,20.709053613724997,0.0,1.2607914712248203e-11,0.0,260.8716925035,789.9745029437871,0.0,846.560008238,0.0,0.0,-56.5855052942,369.7762448331,361.03530982379965,0.0,typical
Oahu,2020,2020-06-23-08:00,0.0,180.0,0.0,0.0,209.4386288,0.0,42.8,365.23209501143,228.09231,0.0,0.0,0.0,0.0,0.0,188.2849404587,68.4825591984,42.8,0.0,228.09231,108.46459535433,0.0,-5.686562332130052e-10,-3.552713678800501e-15,260.8716925035,1025.56303381143,0.0,1003.43791231,0.0,0.0,22.125121501,458.76797643550003,440.9009500017578,0.0,typical
