ShiftDemand_index_1	ShiftDemand_index_2	ShiftDemand
Oahu	2025112316	-87.2793865641
Oahu	2025112318	-97.7100315334
Oahu	2025112320	-86.9265027409
Oahu	2025112322	-69.9792295183
Oahu	2025122300	39.9063816595
Oahu	2025122302	74.1990252049
Oahu	2025122304	-6.72785366651
Oahu	2025122306	-76.3189128952
Oahu	2025122308	-89.1893754253
Oahu	2025122310	52.672880406
Oahu	2025122312	137.478236233
Oahu	2025122314	81.9111834776
Oahu	2025122316	49.432361633
Oahu	2025122318	-99.202436164
Oahu	2025122320	-89.9022154358
Oahu	2025122322	-74.2592750277
Oahu	2030012300	-60.8605083422
Oahu	2030012302	-57.9780671269
Oahu	2030012304	-62.6919087166
Oahu	2030012306	-78.9414668198
Oahu	2030012308	128.968285035
Oahu	2030012310	-85.4088094324
Oahu	2030012312	281.408237043
Oahu	2030012314	232.321272136
Oahu	2030012316	-51.9176958272
Oahu	2030012318	-91.0040234328
Oahu	2030012320	-83.5925924201
Oahu	2030012322	-70.3027220958
Oahu	2030022300	-63.1778165996
Oahu	2030022302	-59.0977675503
Oahu	2030022304	-60.0260117413
Oahu	2030022306	-67.4995019259
Oahu	2030022308	-35.1071820351
Oahu	2030022310	220.798571064
Oahu	2030022312	-84.4488727937
Oahu	2030022314	282.703926141
Oahu	2030022316	111.779946223
Oahu	2030022318	-88.486011115
Oahu	2030022320	-83.4308420649
Oahu	2030022322	-74.0084376022
Oahu	2030032300	-62.9526894081
Oahu	2030032302	-59.1769926252
Oahu	2030032304	-59.9335858451
Oahu	2030032306	-65.2792414639
Oahu	2030032308	-76.0517603173
Oahu	2030032310	20.676115783
Oahu	2030032312	407.303412018
Oahu	2030032314	-79.6498625359
Oahu	2030032316	211.047246995
Oahu	2030032318	-83.6500296928
Oahu	2030032320	-81.1729495916
Oahu	2030032322	-71.1596633164
Oahu	2030042300	-61.4652518228
Oahu	2030042302	-58.5682880924
Oahu	2030042304	-62.4872476334
Oahu	2030042306	-77.4883610405
Oahu	2030042308	99.582244276
Oahu	2030042310	-89.5172466945
Oahu	2030042312	312.906175349
Oahu	2030042314	277.170588412
Oahu	2030042316	-90.4071980272
Oahu	2030042318	-90.4870879787
Oahu	2030042320	-86.7747640026
Oahu	2030042322	-72.4635627442
Oahu	2030052300	-65.6311303871
Oahu	2030052302	-62.5526070106
Oahu	2030052304	-67.142334286
Oahu	2030052306	-81.9434085092
Oahu	2030052308	242.597153012
Oahu	2030052310	-93.6243622627
Oahu	2030052312	279.404262606
Oahu	2030052314	35.40999406
Oahu	2030052316	63.6581059157
Oahu	2030052318	-88.9276825465
Oahu	2030052320	-85.9640417744
Oahu	2030052322	-75.2839488172
Oahu	2030062300	-64.4711545645
Oahu	2030062302	-61.3668823335
Oahu	2030062304	-65.4449528714
Oahu	2030062306	-78.9870209356
Oahu	2030062308	158.936298115
Oahu	2030062310	245.693759029
Oahu	2030062312	278.310518266
Oahu	2030062314	-94.1076348169
Oahu	2030062316	-62.1226007381
Oahu	2030062318	-90.6494951513
Oahu	2030062320	-89.6063723854
Oahu	2030062322	-76.1844616127
Oahu	2030072300	-21.3222940049
Oahu	2030072302	-64.4394661464
Oahu	2030072304	-68.0157805627
Oahu	2030072306	-81.2521746665
Oahu	2030072308	57.0769573066
Oahu	2030072310	10.5179671116
Oahu	2030072312	161.851627445
Oahu	2030072314	180.54789578
Oahu	2030072316	84.4326493359
Oahu	2030072318	-92.0709125124
Oahu	2030072320	-89.9747703942
Oahu	2030072322	-77.3516986929
Oahu	2030082300	-67.3674614775
Oahu	2030082302	-63.2728858836
Oahu	2030082304	-64.1621803988
Oahu	2030082306	-71.5577672025
Oahu	2030082308	233.920373867
Oahu	2030082310	140.196644749
Oahu	2030082312	318.394728788
Oahu	2030082314	-88.6385217012
Oahu	2030082316	-88.1301611395
Oahu	2030082318	-87.1755112766
Oahu	2030082320	-85.3216622529
Oahu	2030082322	-76.8855960713
Oahu	2030092300	-64.8897245589
Oahu	2030092302	-62.207979345
Oahu	2030092304	-67.1720401633
Oahu	2030092306	-81.6634793738
Oahu	2030092308	157.44835571
Oahu	2030092310	54.5525357697
Oahu	2030092312	135.999563031
Oahu	2030092314	278.543452915
Oahu	2030092316	-92.925871192
Oahu	2030092318	-95.8320827505
Oahu	2030092320	-87.7756328579
Oahu	2030092322	-74.0770971847
Oahu	2030102300	-64.5550015387
Oahu	2030102302	-61.7326369544
Oahu	2030102304	-65.5413438493
Oahu	2030102306	-79.7984080403
Oahu	2030102308	169.201600566
Oahu	2030102310	269.332758404
Oahu	2030102312	109.635125011
Oahu	2030102314	-12.165574066
Oahu	2030102316	-10.8001520604
Oahu	2030102318	-93.7564027111
Oahu	2030102320	-86.0089310138
Oahu	2030102322	-73.811033747
Oahu	2030112300	-61.8534510634
Oahu	2030112302	-59.0357083784
Oahu	2030112304	-60.4373204781
Oahu	2030112306	-66.1896629345
Oahu	2030112308	-76.8723952501
Oahu	2030112310	268.231522053
Oahu	2030112312	20.9324314589
Oahu	2030112314	270.013439042
Oahu	2030112316	8.36754393938
Oahu	2030112318	-89.4347214143
Oahu	2030112320	-82.3936628922
Oahu	2030112322	-71.3280140822
Oahu	2030122300	-27.9739245884
Oahu	2030122302	-9.00073074518
Oahu	2030122304	-62.4826257342
Oahu	2030122306	-75.467482945
Oahu	2030122308	-83.871195832
Oahu	2030122310	-87.7030122231
Oahu	2030122312	278.089081444
Oahu	2030122314	403.307104433
Oahu	2030122316	-86.0287403047
Oahu	2030122318	-90.4091805681
Oahu	2030122320	-84.3366416362
Oahu	2030122322	-74.1226513006
Oahu	2035012300	-61.8937762477
Oahu	2035012302	-58.9148411146
Oahu	2035012304	-63.786485417
Oahu	2035012306	-80.5800211443
Oahu	2035012308	-5.24877668351
Oahu	2035012310	-87.2638674702
Oahu	2035012312	401.691193045
Oahu	2035012314	272.436856591
Oahu	2035012316	-66.3549603426
Oahu	2035012318	-93.0463894085
Oahu	2035012320	-85.3868499482
Oahu	2035012322	-71.6520818588
Oahu	2035022300	-64.288659774
Oahu	2035022302	-60.0720251405
Oahu	2035022304	-61.0313436577
Oahu	2035022306	-68.755019811
Oahu	2035022308	-81.0146481238
Oahu	2035022310	130.430112335
Oahu	2035022312	492.253235467
Oahu	2035022314	-85.9831825178
Oahu	2035022316	49.6071505376
Oahu	2035022318	-90.4440829609
Oahu	2035022320	-85.2196847643
Oahu	2035022322	-75.481851589
Oahu	2035032300	-64.0559961219
Oahu	2035032302	-60.1539023902
Oahu	2035032304	-60.9358236701
Oahu	2035032306	-66.4604328964
Oahu	2035032308	202.743242825
Oahu	2035032310	306.873874023
Oahu	2035032312	-81.5563972483
Oahu	2035032314	146.671320292
Oahu	2035032316	-82.2557583087
Oahu	2035032318	-85.4462100173
Oahu	2035032320	-82.8862060519
Oahu	2035032322	-72.5377104349
Oahu	2035042300	-62.5187643971
