DemandResponseSpinningReserveDown_index_1	DemandResponseSpinningReserveDown_index_2	DemandResponseSpinningReserveDown_index_3	DemandResponseSpinningReserveDown
contingency	system_wide_balancing_area	2025122316	690.517238634
contingency	system_wide_balancing_area	2025122318	892.821925476
contingency	system_wide_balancing_area	2025122320	809.119938922
contingency	system_wide_balancing_area	2025122322	668.333475249
contingency	system_wide_balancing_area	2030012300	547.74457508
contingency	system_wide_balancing_area	2030012302	521.802604142
contingency	system_wide_balancing_area	2030012304	564.227178449
contingency	system_wide_balancing_area	2030012306	710.473201378
contingency	system_wide_balancing_area	2030012308	536.349976219
contingency	system_wide_balancing_area	2030012310	768.679284892
contingency	system_wide_balancing_area	2030012312	406.742448231
contingency	system_wide_balancing_area	2030012314	451.857626135
contingency	system_wide_balancing_area	2030012316	732.536788767
contingency	system_wide_balancing_area	2030012318	819.036210895
contingency	system_wide_balancing_area	2030012320	752.333331781
contingency	system_wide_balancing_area	2030012322	632.724498862
contingency	system_wide_balancing_area	2030022300	568.600349396
contingency	system_wide_balancing_area	2030022302	531.879907953
contingency	system_wide_balancing_area	2030022304	540.234105671
contingency	system_wide_balancing_area	2030022306	607.495517333
contingency	system_wide_balancing_area	2030022308	670.003304639
contingency	system_wide_balancing_area	2030022310	453.29773662
contingency	system_wide_balancing_area	2030022312	760.039855143
contingency	system_wide_balancing_area	2030022314	390.652942138
contingency	system_wide_balancing_area	2030022316	568.907810329
contingency	system_wide_balancing_area	2030022318	796.374100035
contingency	system_wide_balancing_area	2030022320	750.877578584
contingency	system_wide_balancing_area	2030022322	666.07593842
contingency	system_wide_balancing_area	2030032300	566.574204673
contingency	system_wide_balancing_area	2030032302	532.592933627
contingency	system_wide_balancing_area	2030032304	539.402272606
contingency	system_wide_balancing_area	2030032306	587.513173175
contingency	system_wide_balancing_area	2030032308	684.465842856
contingency	system_wide_balancing_area	2030032310	614.600300075
contingency	system_wide_balancing_area	2030032312	231.786316516
contingency	system_wide_balancing_area	2030032314	716.848762823
contingency	system_wide_balancing_area	2030032316	433.456139923
contingency	system_wide_balancing_area	2030032318	752.850267235
contingency	system_wide_balancing_area	2030032320	730.556546324
contingency	system_wide_balancing_area	2030032322	640.436969848
contingency	system_wide_balancing_area	2030042300	553.187266405
contingency	system_wide_balancing_area	2030042302	527.114592831
contingency	system_wide_balancing_area	2030042304	562.385228701
contingency	system_wide_balancing_area	2030042306	697.395249365
contingency	system_wide_balancing_area	2030042308	585.637117255
contingency	system_wide_balancing_area	2030042310	805.655220251
contingency	system_wide_balancing_area	2030042312	414.037967872
contingency	system_wide_balancing_area	2030042314	452.049963086
contingency	system_wide_balancing_area	2030042316	813.664782245
contingency	system_wide_balancing_area	2030042318	814.383791808
contingency	system_wide_balancing_area	2030042320	780.972876023
contingency	system_wide_balancing_area	2030042322	652.172064698
contingency	system_wide_balancing_area	2030052300	590.680173484
contingency	system_wide_balancing_area	2030052302	562.973463096
contingency	system_wide_balancing_area	2030052304	604.281008574
contingency	system_wide_balancing_area	2030052306	737.490676583
contingency	system_wide_balancing_area	2030052308	479.572451437
contingency	system_wide_balancing_area	2030052310	842.619260364
contingency	system_wide_balancing_area	2030052312	474.983211249
contingency	system_wide_balancing_area	2030052314	712.834955557
contingency	system_wide_balancing_area	2030052316	660.941029889
contingency	system_wide_balancing_area	2030052318	800.349142918
contingency	system_wide_balancing_area	2030052320	773.67637597
contingency	system_wide_balancing_area	2030052322	677.555539354
contingency	system_wide_balancing_area	2030062300	580.240391081
contingency	system_wide_balancing_area	2030062302	552.301941001
contingency	system_wide_balancing_area	2030062304	589.004575842
contingency	system_wide_balancing_area	2030062306	710.883188421
contingency	system_wide_balancing_area	2030062308	545.418419353
contingency	system_wide_balancing_area	2030062310	495.811840945
contingency	system_wide_balancing_area	2030062312	473.615703579
contingency	system_wide_balancing_area	2030062314	846.968713352
contingency	system_wide_balancing_area	2030062316	802.281362349
contingency	system_wide_balancing_area	2030062318	815.845456361
contingency	system_wide_balancing_area	2030062320	806.457351468
contingency	system_wide_balancing_area	2030062322	685.660154514
contingency	system_wide_balancing_area	2030072300	564.381641368
contingency	system_wide_balancing_area	2030072302	579.955195317
contingency	system_wide_balancing_area	2030072304	612.142025064
contingency	system_wide_balancing_area	2030072306	731.269571999
contingency	system_wide_balancing_area	2030072308	660.534608285
contingency	system_wide_balancing_area	2030072310	744.857166719
contingency	system_wide_balancing_area	2030072312	601.187139167
contingency	system_wide_balancing_area	2030072314	579.67572721
contingency	system_wide_balancing_area	2030072316	668.560469648
contingency	system_wide_balancing_area	2030072318	828.638212611
contingency	system_wide_balancing_area	2030072320	809.772933548
