DemandResponseSpinningReserveUp_index_1	DemandResponseSpinningReserveUp_index_2	DemandResponseSpinningReserveUp_index_3	DemandResponseSpinningReserveUp
contingency	system_wide_balancing_area	2025102322	0.0
contingency	system_wide_balancing_area	2025112300	0.0
contingency	system_wide_balancing_area	2025112302	0.0
contingency	system_wide_balancing_area	2025112304	0.0
contingency	system_wide_balancing_area	2025112306	0.0
contingency	system_wide_balancing_area	2025112308	78.4100384845
contingency	system_wide_balancing_area	2025112310	22.4812951136
contingency	system_wide_balancing_area	2025112312	0.0
contingency	system_wide_balancing_area	2025112314	0.0
contingency	system_wide_balancing_area	2025112316	0.0
contingency	system_wide_balancing_area	2025112318	0.0
contingency	system_wide_balancing_area	2025112320	0.0
contingency	system_wide_balancing_area	2025112322	0.0
contingency	system_wide_balancing_area	2025122300	95.8553981631
contingency	system_wide_balancing_area	2025122302	81.7603968441
contingency	system_wide_balancing_area	2025122304	0.0
contingency	system_wide_balancing_area	2025122306	0.0
contingency	system_wide_balancing_area	2025122308	0.0
contingency	system_wide_balancing_area	2025122310	0.0
contingency	system_wide_balancing_area	2025122312	0.0
contingency	system_wide_balancing_area	2025122314	176.252189995
contingency	system_wide_balancing_area	2025122316	0.0
contingency	system_wide_balancing_area	2025122318	0.0
contingency	system_wide_balancing_area	2025122320	0.0
contingency	system_wide_balancing_area	2025122322	0.0
contingency	system_wide_balancing_area	2030012300	0.0
contingency	system_wide_balancing_area	2030012302	0.0
contingency	system_wide_balancing_area	2030012304	0.0
contingency	system_wide_balancing_area	2030012306	0.0
contingency	system_wide_balancing_area	2030012308	0.0
contingency	system_wide_balancing_area	2030012310	0.0
contingency	system_wide_balancing_area	2030012312	289.53373299
contingency	system_wide_balancing_area	2030012314	222.019798428
contingency	system_wide_balancing_area	2030012316	0.0
contingency	system_wide_balancing_area	2030012318	0.0
contingency	system_wide_balancing_area	2030012320	0.0
contingency	system_wide_balancing_area	2030012322	0.0
contingency	system_wide_balancing_area	2030022300	0.0
contingency	system_wide_balancing_area	2030022302	0.0
contingency	system_wide_balancing_area	2030022304	0.0
contingency	system_wide_balancing_area	2030022306	0.0
contingency	system_wide_balancing_area	2030022308	44.2548332904
contingency	system_wide_balancing_area	2030022310	0.0
contingency	system_wide_balancing_area	2030022312	0.0
contingency	system_wide_balancing_area	2030022314	291.855789313
contingency	system_wide_balancing_area	2030022316	196.865915792
contingency	system_wide_balancing_area	2030022318	0.0
contingency	system_wide_balancing_area	2030022320	0.0
contingency	system_wide_balancing_area	2030022322	0.0
contingency	system_wide_balancing_area	2030032300	0.0
contingency	system_wide_balancing_area	2030032302	0.0
contingency	system_wide_balancing_area	2030032304	0.0
contingency	system_wide_balancing_area	2030032306	0.0
contingency	system_wide_balancing_area	2030032308	0.0
contingency	system_wide_balancing_area	2030032310	0.0
contingency	system_wide_balancing_area	2030032312	430.78665879
contingency	system_wide_balancing_area	2030032314	0.0
contingency	system_wide_balancing_area	2030032316	55.4369547537
contingency	system_wide_balancing_area	2030032318	0.0
contingency	system_wide_balancing_area	2030032320	0.0
contingency	system_wide_balancing_area	2030032322	0.0
contingency	system_wide_balancing_area	2030042300	0.0
contingency	system_wide_balancing_area	2030042302	0.0
contingency	system_wide_balancing_area	2030042304	0.0
contingency	system_wide_balancing_area	2030042306	0.0
contingency	system_wide_balancing_area	2030042308	185.234664467
contingency	system_wide_balancing_area	2030042310	0.0
contingency	system_wide_balancing_area	2030042312	403.774193251
contingency	system_wide_balancing_area	2030042314	364.468751593
contingency	system_wide_balancing_area	2030042316	0.0
contingency	system_wide_balancing_area	2030042318	0.0
contingency	system_wide_balancing_area	2030042320	0.0
contingency	system_wide_balancing_area	2030042322	0.0
contingency	system_wide_balancing_area	2030052300	0.0
contingency	system_wide_balancing_area	2030052302	0.0
contingency	system_wide_balancing_area	2030052304	0.0
contingency	system_wide_balancing_area	2030052306	0.0
contingency	system_wide_balancing_area	2030052308	332.868353568
contingency	system_wide_balancing_area	2030052310	0.0
contingency	system_wide_balancing_area	2030052312	362.971517834
contingency	system_wide_balancing_area	2030052314	128.940612762
contingency	system_wide_balancing_area	2030052316	128.031688148
contingency	system_wide_balancing_area	2030052318	0.0
contingency	system_wide_balancing_area	2030052320	0.0
contingency	system_wide_balancing_area	2030052322	0.0
contingency	system_wide_balancing_area	2030062300	0.0
contingency	system_wide_balancing_area	2030062302	0.0
