DemandResponseSpinningReserveUp_index_1,DemandResponseSpinningReserveUp_index_2,DemandResponseSpinningReserveUp_index_3,DemandResponseSpinningReserveUp
contingency,system_wide_balancing_area,2035052314,0.0
contingency,system_wide_balancing_area,2035052316,0.0
contingency,system_wide_balancing_area,2035052318,0.0
contingency,system_wide_balancing_area,2035052320,0.0
contingency,system_wide_balancing_area,2035052322,0.0
contingency,system_wide_balancing_area,2035062300,0.0
contingency,system_wide_balancing_area,2035062302,0.0
contingency,system_wide_balancing_area,2035062304,0.0
contingency,system_wide_balancing_area,2035062306,0.0
contingency,system_wide_balancing_area,2035062308,0.0
contingency,system_wide_balancing_area,2035062310,110.987506113
contingency,system_wide_balancing_area,2035062312,0.0
contingency,system_wide_balancing_area,2035062314,0.0
contingency,system_wide_balancing_area,2035062316,0.0
contingency,system_wide_balancing_area,2035062318,0.0
contingency,system_wide_balancing_area,2035062320,0.0
contingency,system_wide_balancing_area,2035062322,0.0
contingency,system_wide_balancing_area,2035072300,0.0
contingency,system_wide_balancing_area,2035072302,0.0
contingency,system_wide_balancing_area,2035072304,0.0
contingency,system_wide_balancing_area,2035072306,0.0
contingency,system_wide_balancing_area,2035072308,0.0
contingency,system_wide_balancing_area,2035072310,129.998427665
contingency,system_wide_balancing_area,2035072312,0.0
contingency,system_wide_balancing_area,2035072314,0.0
contingency,system_wide_balancing_area,2035072316,169.504896479
contingency,system_wide_balancing_area,2035072318,0.0
contingency,system_wide_balancing_area,2035072320,0.0
contingency,system_wide_balancing_area,2035072322,0.0
contingency,system_wide_balancing_area,2035082300,0.0
contingency,system_wide_balancing_area,2035082302,0.0
contingency,system_wide_balancing_area,2035082304,0.0
contingency,system_wide_balancing_area,2035082306,0.0
contingency,system_wide_balancing_area,2035082308,446.280570899
contingency,system_wide_balancing_area,2035082310,0.0
contingency,system_wide_balancing_area,2035082312,230.483321678
contingency,system_wide_balancing_area,2035082314,0.0
contingency,system_wide_balancing_area,2035082316,186.751396329
contingency,system_wide_balancing_area,2035082318,0.0
contingency,system_wide_balancing_area,2035082320,0.0
contingency,system_wide_balancing_area,2035082322,0.0
contingency,system_wide_balancing_area,2035092300,0.0
contingency,system_wide_balancing_area,2035092302,0.0
contingency,system_wide_balancing_area,2035092304,0.0
contingency,system_wide_balancing_area,2035092306,0.0
contingency,system_wide_balancing_area,2035092308,0.0
contingency,system_wide_balancing_area,2035092310,0.0
contingency,system_wide_balancing_area,2035092312,0.0
contingency,system_wide_balancing_area,2035092314,499.493458754
contingency,system_wide_balancing_area,2035092316,0.0
contingency,system_wide_balancing_area,2035092318,0.0
contingency,system_wide_balancing_area,2035092320,0.0
contingency,system_wide_balancing_area,2035092322,0.0
contingency,system_wide_balancing_area,2035102300,0.0
contingency,system_wide_balancing_area,2035102302,0.0
contingency,system_wide_balancing_area,2035102304,0.0
contingency,system_wide_balancing_area,2035102306,0.0
contingency,system_wide_balancing_area,2035102308,283.074957533
contingency,system_wide_balancing_area,2035102310,0.0
contingency,system_wide_balancing_area,2035102312,0.0
contingency,system_wide_balancing_area,2035102314,0.0
contingency,system_wide_balancing_area,2035102316,0.0
contingency,system_wide_balancing_area,2035102318,0.0
contingency,system_wide_balancing_area,2035102320,0.0
contingency,system_wide_balancing_area,2035102322,0.0
contingency,system_wide_balancing_area,2035112300,0.0
contingency,system_wide_balancing_area,2035112302,0.0
contingency,system_wide_balancing_area,2035112304,0.0
contingency,system_wide_balancing_area,2035112306,0.0
contingency,system_wide_balancing_area,2035112308,269.949866598
contingency,system_wide_balancing_area,2035112310,333.424924555
contingency,system_wide_balancing_area,2035112312,0.0
contingency,system_wide_balancing_area,2035112314,308.301148994
contingency,system_wide_balancing_area,2035112316,0.0
contingency,system_wide_balancing_area,2035112318,0.0
